services,language_code,english,indigenous_language,pronunciation
2,279,Many,Woorrain,
2,252,Many,Yoiran,
2,182,Many,Burrulaa,
2,362,Many,Jardi,
2,618,Many,Kaja,
2,277,Many,Yangier,
2,201,Many,,
2,243,Many,Gumbi,
2,392,Many,Toona,
2,265,Many,Yingathu,
2,265,Many,Yingarloo,
2,1056,Many,Buta,
2,295,Many,Guybaguyba,
2,468,Many,Mirty,
2,196,Many,Yangarra-yangarra,
2,203,Many,Mulla-mulla,
2,192,Many,Mulla-mulla,
2,250,Many,Munyal,
2,318,Many,Murung,
2,261,Many,Bungan,
2,1064,Many,Gorsar,
2,342,Many,Maltha,
2,392,Many,Thunga,
2,359,Many,,
2,1163,Many,Kokara,
2,1163,Many,Wubul,
2,492,Many,Mooral,
2,1154,Many,Mong,
2,370,Many,Jika,
2,312,Many,Wallul,
2,204,Many,Bunyarie,
2,345,Many,Cudgello,
2,1112,Many,Gaire,
2,357,Many,Yonkoona,
2,284,Many,Talgai,
2,993,Many,Balar,
2,388,Many,Punhi,
2,1106,Many,Urri,
2,780,Many,Plenti,
2,323,Many,Korumba,
2,1049,Many,Makyan,
2,260,Many,Bogo,
2,338,Many,Murrtoo,
2,477,Many,Warndru,
2,1141,Many,Yot,
2,291,Many,Dalgay,
2,285,Many,Mulea,
2,470,Many,Nunka,
2,616,Many,Liikanmaraalkula,
2,298,Many,Mandya (also used for five or few),
2,980,Many,Ngabi,
2,289,Many,Murga,
2,1158,Many,Yamar,
2,248,Many,Wallul,
2,301,Many,Millen,
2,255,Many,Millen,
2,1191,Many,Burrulaa,
2,255,"Bird (Generic	 any bird)",Juwanbin,
2,255,Carpet Snake,Kabul,
2,255,Crow,Wawal,
2,255,Dingo/Wild Dog,Mirri,
2,255,Eagle,Juwehrr,
2,255,Emu,Nguyi,
2,255,"Fish (Generic	 any fish)",Jawan,
2,255,Horse,Yarraman,
2,255,Kangaroo,Barrar,
2,255,Goala,Dumbirrbi,
2,255,Pelican,Bulualum,
2,255,Possum,Kubbi,
2,255,Shark,Powai,
2,255,Snake (Black),Bui,
2,255,Sugar Glider,Chibur,
2,255,Wallaby,Garril,
2,301,"Bird (Generic	 any bird)",Juwahnduwan,
2,301,Carpet Snake,Kabul,
2,301,Crow,Wagan,
2,301,Dingo/Wild Dog,Mirri,
2,301,Eagle,Juwehrr,
2,301,Emu,Ngurun,
2,301,"Fish (Generic	 any fish)",Guyurr,
2,301,Horse,Yarraman,
2,301,Kangaroo,Burrar,
2,301,Goala,Marrambi,
2,301,Pelican,Bulualum,
2,301,Possum,Kubbi,
2,301,Shark,Powai,
2,301,Snake (Black),Bui,
2,301,Sugar Glider,Chibur,
2,301,Wallaby,Garril,
2,248,"Bird (Generic	 any bird)",Noangbil,
2,248,Carpet Snake,Kabul,
2,248,Crow,Wagahn,
2,248,Dingo/Wild Dog,Ngurun,
2,248,Eagle,Mibunn,
2,248,Emu,Murun,
2,248,"Fish (Generic	 any fish)",Jalumm,
2,248,Horse,Yarraman,
2,248,Kangaroo,Muni,
2,248,Goala,Borobi,
2,248,Pelican,Chungarra,
2,248,Possum,Guran,
2,248,Shark,Bowai,
2,248,Snake (Black),Jomgwong,
2,248,Sugar Glider,Jiburr,
2,248,Wallaby,Karil,
2,323,"Bird (Generic	 any bird)",Juwahnduwan,
2,323,Carpet Snake,Kabul,
2,323,Crow,Wowa,
2,323,Dingo/Wild Dog,Mirri,
2,323,Eagle,Dibbil,
2,323,Emu,Nguyi,
2,323,"Fish (Generic	 any fish)",Kuyur,
2,323,Horse,Yarraman,
2,323,Kangaroo,Gurooman,
2,323,Goala,Dumbirrbi,
2,323,Pelican,Bulualum,
2,323,Possum,Kubbi,
2,323,Shark,Powai,
2,323,Snake (Black),Tumgu,
2,323,Sugar Glider,Chibur,
2,323,Wallaby,Garril,
